X;Y;AREA;INTERSECCI;CALLE_2;CALLE_1;CONTROLADO;DIRECCION NORMALIZADA;CALLE;CRUCE
-58,4542790104261;-34,551165566403;3;CONGRESO AV.-MONTAÑESES;MONTAÑESES;CONGRESO AV.;SIEMENS CLS214PLUS;MONTAÑESES Y CONGRESO;MONTAÑESES;CONGRESO
-58,4623766529959;-34,576032065884;4;FOREST AV.-ZARRAGA;ZARRAGA;FOREST AV.;AUTOTROL CT800DMC;ZARRAGA Y FOREST AV.;ZARRAGA;FOREST AV.
-58,4707673570717;-34,586954305907;7;COMBATIENTES DE MALVINAS AV. - CHORROARAN AV.;CHORROARAN AV.;COMBATIENTES DE MALVINAS AV.;SIEMENS CLS95;CHORROARIN AV. Y COMBATIENTES DE MALVINAS AV.;CHORROARIN AV.;COMBATIENTES DE MALVINAS AV.
-58,4091017213090;-34,591709897201;3;GALLO-GUEMEZ;GUEMEZ;GALLO;SIEMENS STC M4-20;GUEMES Y GALLO;GUEMES;GALLO
-58,4921016243890;-34,603058503248;8;HELGUERA-NOGOYA;NOGOYA;HELGUERA;AUTOTROL CT800DMC;NOGOYA Y HELGUERA;NOGOYA;HELGUERA
-58,3944990905682;-34,618301655417;2;INDEPENDENCIA AV.-SARANDI;SARANDI;INDEPENDENCIA AV.;SIEMENS CLS95;SARANDI E INDEPENDENCIA AV.;SARANDI;INDEPENDENCIA AV.
-58,4492182135772;-34,647249198992;9;AV. VARELA-CASTAÑARES AV.;CASTAÑARES AV.;AV. VARELA;SIEMENS STC;CATAÑARES AV. Y VARELA AV.;CATAÑARES AV.;VARELA AV.
-58,4869341105459;-34,545747777994;3;MELIAN - PICO;PICO;MELIAN;MANTELEC;PICO Y MELIAN AV.;PICO;MELIAN AV.
-58,4778552813984;-34,554314471770;3;LARRALDE CRISTOLOGO AV.-SUPERI;SUPERI;LARRALDE CRISTOLOGO AV.;MANTELEC;SUPERI Y LARRALDE, CRISOLOGO AV.;SUPERI;LARRALDE, CRISOLOGO AV.
-58,4862208050050;-34,562184138900;7;ACHA, MARIANO - PEDRAZA, MANUELA;PEDRAZA, MANUELA;ACHA, MARIANO;SIEMENS CLS95;PEDRAZA, MANUELA Y ACHA, MARIANO, GRAL.;PEDRAZA, MANUELA;ACHA, MARIANO, GRAL.
