PERIODO;EMPRESA;MARCAS;VIGENCIA;USA_ARMAS;SEGURO;RENAR_VENCE
201701;1816 SEGURIDAD SRL;;23/05/2018;NO;10/10/2017;
201701;A.I.P.A.A. AGENCIA DE INVESTIGACIONES PRIVADAS AUTORIZADAS AMERICA SA;SECURITAS;21/03/2018;SI;31/12/2017;01/05/2021
201701;A.I.P.A.A. AGENCIA DE INVESTIGACIONES PRIVADAS AUTORIZADAS AMERICA SA;A.I.P.A.A AGENCIA DE INVESTIGACIONES PRIAVADAS AUTORIZADAS AMERICA SA;21/03/2018;SI;31/12/2017;01/05/2021
201701;A.I.S.E. ASESORIA INTEGRAL DE SEGURIDAD EMPRESARIA SRL;;11/01/2018;NO;31/12/2017;
201701;ÑORQUINCO SEGURIDAD SRL;;27/07/2018;NO;22/09/2017;
201701;ACCION PREVENTIVA DE MILANESE CLOTILDE;ACCION PREVENTIVA;11/01/2018;NO;01/04/2017;
201701;ACCURO SA;;25/05/2017;SI;28/10/2017;01/07/2019
201701;ACP SEGURIDAD SA;;27/04/2017;NO;19/10/2017;
201701;ACYR SA;;19/07/2018;SI;28/06/2017;01/02/2018
201701;ADT SECURITY SERVICE SA;ADT;03/03/2018;NO;01/10/2017;
201701;ADT SECURITY SERVICE SA;TYCO FIRE & SECURITY GMBH;03/03/2018;NO;01/10/2017;
201701;AG SEGURIDAD PRIVADA SRL;;09/09/2017;NO;14/03/2017;
201701;AGENCIA 15 SA;;09/09/2017;NO;21/11/2017;
201701;AGENCIA DE INVESTIGACIONES PRIVADAS ALSINA SRL;;01/11/2017;NO;01/12/2017;
201701;AGENCIA MAYA SEGURIDAD SA;;28/09/2017;NO;27/07/2017;
201701;AIRSEC SA;ARSEC-ALLIANCE REGIONALE SECURITE;18/08/2017;SI;19/11/2017;01/03/2020
201701;AJM SEGURIDAD PRIVADA SA;;27/01/2018;SI;08/11/2017;01/04/2018
201701;AKROPOLIS SEGURIDAD SRL;;25/12/2018;SI;31/05/2017;01/11/2020
201701;ALBOSA SRL;;22/05/2018;NO;15/06/2017;
201701;ALCA SEGURIDAD SRL;;27/07/2017;NO;05/03/2017;
201701;ALCALA SEGURIDAD SRL;;19/05/2018;NO;22/10/2017;
201701;ALEGA SEGURIDAD SA;;07/04/2017;NO;19/10/2017;
201701;ALERTAR Y PROTEGER SRL;;30/03/2018;SI;13/12/2017;01/12/2017
201701;ALERTAS SEGURIDAD PRIVADA SRL;;10/03/2018;NO;27/08/2017;
201701;ALERTASEG SRL;;01/05/2018;NO;20/11/2017;
201701;ALFA TEAM SRL;;22/02/2018;NO;10/09/2017;
201701;ALL ACCESS SRL;;07/02/2017;NO;11/05/2017;
201701;ALLEGRETTA SILVIA PATRICIA Y MICIELI BRIAN ALAN;;13/10/2018;NO;01/07/2017;
201701;ALTA VISION SA;;23/09/2017;SI;12/03/2017;01/09/2020
201701;AM SEGURIDAD EMPRESARIA SRL;A.M. SEGURIDAD EMPRESARIA;03/12/2017;SI;22/12/2017;01/12/2021
201701;AMD SEGURIDAD SA;;05/11/2017;NO;23/07/2017;
201701;AN SEGURIDAD SA;;25/10/2017;NO;24/07/2017;
201701;ANTA NAHUEL SA;;31/03/2018;NO;24/02/2017;
201701;ANTEAR SEGURIDAD SRL;;16/03/2018;NO;26/02/2017;
201701;APLICACION TECNOLOGICA SA;;31/10/2018;NO;19/06/2017;
201701;AR21 SRL;;20/11/2018;NO;29/09/2017;
201701;ARA SEGURIDAD SRL;;10/11/2017;SI;18/02/2017;01/01/2019
201701;ARAUCA SEGURIDAD SA;;06/06/2018;NO;05/09/2017;
201701;ARES SECURITY SRL;;03/03/2018;NO;30/11/2017;
201701;ARG SERVICIOS SRL;;01/05/2018;NO;04/03/2017;
201701;ARGENPOL SRL;;22/08/2018;NO;09/09/2017;
201701;ARGENT POL SRL;LATIN SEC LATIN SEC AMERICA SECURITY COMPANY;29/01/2018;SI;12/07/2017;01/10/2017
201701;ARGENTINA SEGURIDAD SRL;;25/01/2018;NO;01/10/2017;
201701;ARGO SECURITY SRL;;13/10/2018;NO;18/12/2017;
201701;ARPA ORGANIZACION DE SEGURIDAD SRL;;06/07/2018;NO;28/02/2017;01/09/2014
201701;AS GROUP INTEGRAL DE SEGURIDAD PRIVADA SA;;18/05/2018;SI;04/10/2017;01/02/2019
201701;ASEGUR SRL;;11/05/2018;NO;07/02/2017;
201701;ASIPA SRL;;22/02/2018;NO;01/06/2017;
201701;ASIPROF SEGURIDAD SA;;03/12/2017;SI;22/01/2018;01/06/2017
201701;ASISTENCIA PROFESIONAL SA;;03/12/2017;NO;15/10/2017;
201701;ASTER CONTROL SA;BACK CONTROL SA;06/08/2017;SI;01/10/2017;01/05/2019
201701;ATL SEGURIDAD SRL;;12/07/2017;NO;23/07/2017;
201701;ATLAS SEGURIDAD SRL;;03/02/2018;NO;11/02/2017;
201701;AVAL SRL;;14/01/2018;SI;17/12/2017;01/12/2018
201701;AVIV ESPECIALISTAS SA;;18/05/2018;NO;06/05/2017;
201701;BACK PROTECTION SECURITY SRL;;04/06/2017;NO;01/12/2017;
201701;BATAAN SEGURIDAD SRL;;10/06/2017;SI;24/09/2017;01/09/2018
201701;BAYERSAT SA;;18/10/2018;NO;12/02/2017;01/08/2014
201701;BE SAFE SEGURIDAD SRL;;16/05/2018;NO;05/10/2017;
201701;BEC PROTECTION SRL;;12/01/2018;SI;02/12/2017;01/11/2020
201701;BEST PROTECTION SRL;;19/02/2017;NO;10/09/2017;
201701;BETTER SECURITY SRL;;12/07/2017;NO;14/04/2017;
201701;BIRD SEGURIDAD PRIVADA SRL;;07/10/2017;NO;13/10/2017;01/11/2016
201701;BIS SECURITY SA;;06/08/2017;NO;03/06/2017;
201701;BLACK SECURITY SRL;;12/11/2018;NO;22/05/2017;
201701;BLACKSEG SRL;;20/11/2018;NO;14/09/2017;
201701;BLAKE CORP SA;;21/07/2018;NO;14/03/2017;
201701;BLASON GROUP SRL;;10/03/2018;NO;10/12/2017;
201701;BLINSER SRL;;03/02/2018;NO;04/02/2017;
201701;BLUE DOT SEGURIDAD PRIVADA SA;;04/02/2017;NO;07/12/2017;
201701;BORGUARDS SRL;;15/03/2018;NO;11/02/2017;
201701;BORMAN SEGURIDAD SRL;;10/06/2017;SI;30/03/2017;01/03/2019
201701;BOSS PRIVATE SECURITY COMPANY SRL;;29/05/2018;NO;21/08/2017;
201701;BRIEFING SECURITY SA;;10/08/2017;SI;22/07/2017;01/11/2020
201701;BRION GROUP SRL;;29/06/2018;NO;18/11/2017;
201701;BRUJULA SA;;01/06/2017;SI;17/07/2017;01/10/2017
201701;BUENOS AIRES PROTECTION SRL;;10/02/2018;NO;12/04/2017;
201701;BUHOS SRL;;19/09/2018;NO;03/08/2017;
201701;BUHOSAT SA;;08/09/2018;NO;04/07/2017;
201701;BULL COOPERATIVA DE TRABAJO LIMITADA;;06/10/2017;SI;22/11/2017;01/01/2018
201701;C CORP SEGURIDAD SA;;10/10/2018;NO;17/05/2017;
201701;C&R SEGURIDAD PRIVADA SRL;;06/07/2018;SI;13/06/2017;01/09/2021
201701;C.B.L. SEGURITY GROUP SRL (EX LANZARA GARRO SRL);;03/04/2018;NO;02/10/2017;
201701;C.I.S.E SRL (CENTRO INTEGRAL DE SEGURIDAD EMPRESARIA);CISE SRL;18/04/2018;SI;19/02/2017;01/11/2018
201701;CAMURA SRL;;18/08/2017;NO;04/11/2017;
201701;CAP SECURITY SRL;;27/10/2018;NO;14/05/2017;
201701;CARBESS SRL;;13/01/2018;SI;22/07/2017;01/08/2017
201701;CARLOS HUGO ABRUZZESE;;22/12/2018;NO;13/10/2017;01/09/2015
201701;CAS TECNOLOGIA Y SEGURIDAD SRL;;12/04/2018;NO;19/10/2017;
201701;CATEXIS SRL;;27/03/2018;SI;06/01/2018;01/12/2017
201701;CAZADORES COOPERATIVA DE TRABAJO LTDA;CAZADORES;19/07/2017;SI;30/06/2017;01/09/2019
201701;CELMA SRL;;05/06/2017;SI;29/06/2017;01/06/2018
201701;CENTRO DE INVESTIGADORES PRIVADOS ARGENTINOS SA;;12/01/2018;SI;11/09/2017;01/10/2020
201701;CERBERUS SA;CERBERUS;30/07/2017;SI;06/12/2017;01/10/2019
201701;CERTUS SA;;22/09/2018;NO;24/08/2017;
201701;CHAPELCO SEGURIDAD INTEGRAL SRL;;12/03/2017;NO;13/06/2017;01/10/2010
201701;CI5 SA;;23/07/2017;SI;08/09/2017;01/04/2017
201701;CITY INVESTIGACIONES PRIVADAS SRL;;20/01/2018;NO;27/04/2017;
201701;CLEAR NESS SA;;27/03/2018;SI;19/10/2017;01/06/2021
201701;CO COT SRL;;29/01/2019;NO;18/06/2017;
201701;CODECOP SRL;;24/04/2018;NO;25/08/2017;
201701;CODIGO UNO SRL;;01/11/2017;NO;13/11/2017;
201701;COM -PRIVADA SRL;;21/07/2018;NO;26/10/2017;
201701;COMAHUE SEGURIDAD PRIVADA SA;COMAHUE;07/11/2017;SI;21/08/2017;01/12/2019
201701;COMMAND GROUP SRL;;11/01/2018;NO;25/04/2017;01/12/2016
201701;COMPAÑIA DE SEGURIDAD PRIVADA SRL;;05/11/2017;SI;10/05/2017;01/08/2018
201701;COMPTOR SA;DETECT ARGENTINA VIGILANCIA COMPUTARIZADA;17/02/2017;NO;10/12/2017;
201701;CONADPER SRL;;25/08/2017;NO;02/07/2017;
201701;CONSULTORA DE SEGURIDAD INTEGRAL SA;;10/05/2018;SI;20/01/2018;01/11/2017
201701;CONSULTORA VIDECO SA;SECURITAS;04/06/2017;NO;31/12/2017;01/07/2013
201701;CONSULTORA VIDECO SA;VIDECO;04/06/2017;NO;31/12/2017;01/07/2013
201701;CONTROL DE ADM. Y PERM. SA;;23/07/2017;NO;18/04/2017;
201701;CONTROL Y SEGURIDAD SA;;18/11/2017;SI;17/01/2018;01/04/2018
201701;CONTROLLING EYES SA;;23/08/2018;NO;07/09/2017;
201701;CONYSEG SRL;SEGURIDAD DEL PLATA;17/05/2018;NO;05/11/2017;
201701;COOPERATIVA DE PROVISION DE SERVICIOS EN SEGURIDAD PRIVADA SAB 5 LTDA;;27/08/2017;SI;11/05/2017;01/03/2019
201701;COOPERATIVA DE PROVISION DE SERVICIOS PARA IDONEOS EN SEGURIDAD LA BUENOS AIRES LIMITADA;;20/10/2017;NO;28/08/2017;
201701;COOPERATIVA DE PROVISION DE SERVICIOS PARA IDONEOS EN VIGILANCIA Y SEGURIDAD PRIVADA CLC PROTECCION INTEGRAL LTDA;;21/07/2018;NO;19/04/2017;
201701;COOPERATIVA DE PROVISION DE SERVICIOS PARA IDONEOS EN VIGILANCIA Y SEGURIDAD PRIVADA SINERGIA LTDA;;31/01/2019;NO;17/03/2017;
201701;COOPERATIVA DE TRABAJO CRUZ DE MALTA LTDA;;28/03/2018;NO;14/08/2017;
201701;COOPERATIVA DE TRABAJO CSI LTDA;;13/04/2018;NO;11/01/2018;
201701;COOPERATIVA DE TRABAJO DE SEGURIDAD Y VIGILANCIA DOGO ARGENTINO LTDA;;04/04/2018;SI;10/06/2017;01/08/2021
201701;COOPERATIVA DE TRABAJO EL ESCORIAL LTDA;;27/01/2018;SI;07/08/2017;01/06/2019
201701;COOPERATIVA DE TRABAJO EL FERROL LTDA;;14/07/2017;SI;13/05/2017;01/07/2018
201701;COOPERATIVA DE TRABAJO EULEN LIMITADA;;12/05/2018;SI;28/12/2017;01/12/2018
201701;COOPERATIVA DE TRABAJO FAST LIMITADA;;11/05/2018;SI;04/09/2017;01/02/2020
201701;COOPERATIVA DE TRABAJO LA PERMANENTE LIMITADA;;26/12/2018;NO;09/04/2017;
201701;COOPERATIVA DE TRABAJO LINCE SEGURIDAD LTDA;;20/08/2017;SI;08/07/2017;01/09/2020
201701;COOPERATIVA DE TRABAJO SEGURIDAD INTEGRAL LTDA;;25/04/2018;NO;01/08/2017;
201701;COOPERATIVA DE TRABAJO SISTEMA LABORAL COOPERATIVO LIMITADA;;02/09/2017;NO;21/06/2017;
201701;COOPERATIVA DE TRABAJO SOLUCIONAR LTDA;;16/11/2017;SI;28/08/2017;01/02/2020
201701;COPS SRL;COPS;20/10/2017;SI;23/08/2017;01/06/2018
201701;CORNEL Y ASOCIADOS SRL;;28/04/2017;SI;08/02/2017;01/08/2019
201701;CORPORACION A.S.E. SRL;;29/01/2019;NO;17/11/2017;
201701;CURUPAYTI SEGURIDAD PRIVADA SRL;;27/03/2018;NO;26/08/2017;
201701;CUSTODE SRL;;23/06/2017;NO;22/05/2017;
201701;CUSTODIA SRL;;20/01/2018;SI;22/08/2017;01/04/2018
201701;CUSTOMERS PROTECTION SRL;GS GRUPO SAN MIGUEL GENTE CONFIABLE;04/06/2017;SI;31/10/2017;01/10/2018
201701;CU-S-V-I-P GROUP SRL;;24/09/2017;NO;04/06/2017;
201701;DARDO ROCHA SEGURIDAD SA;;14/07/2018;NO;03/02/2017;
201701;DARGE SA;;03/02/2017;NO;24/07/2017;
201701;DARGER SRL;;03/10/2018;NO;29/07/2017;
201701;DE CONFIAR SEGURIDAD SRL;;03/12/2017;NO;31/03/2017;
201701;DEL PLATA SEGURIDAD SRL;;14/03/2018;NO;03/02/2017;
201701;DEL VALLE SEGURIDAD SRL;;04/12/2018;NO;07/04/2017;
201701;DELTA GROUP SRL;;14/07/2018;NO;03/02/2017;01/04/2016
201701;DEROMA SRL;;25/08/2017;NO;23/06/2017;
201701;DIEGO HERNAN ACHARD;;10/02/2017;NO;10/06/2017;
201701;DYP SEGURIDAD SRL;;15/03/2018;NO;10/10/2017;
201701;EAGLE SECURITY SRL;;14/02/2018;SI;15/03/2017;01/07/2019
201701;EL CUSTODIO PRIVATE SECURITY SRL;;27/07/2017;NO;10/12/2017;
201701;EL VISOR SRL;;29/05/2018;SI;07/09/2017;01/09/2018
201701;ELE SEGURIDAD SRL;;28/02/2018;SI;26/09/2017;01/05/2020
201701;ELEFOUR SA;;27/07/2017;NO;04/12/2017;
201701;ELWAYS SECURITY SRL;;29/11/2018;NO;24/06/2017;
201701;EMPRESA DE SEGURIDAD E INVESTIGACIONES PRIVADAS CONDUCTA SRL;;20/05/2017;SI;21/07/2017;01/09/2019
201701;EMPRESA DE SEGURIDAD FALCON SA;;03/04/2018;SI;16/04/2017;01/11/2017
201701;EMPRESA DE SEGURIDAD FM SERVICE SRL;;13/01/2018;NO;23/09/2017;
201701;EMPRESA DE SEGURIDAD INTEGRAL ALESA SA;;15/06/2018;SI;13/10/2017;01/03/2019
