LAT;LNG;PERIODO;ID;NOMBRE;OBJETO;TIPO;ESTRUCTURA;DOM_NORMA;DOM_ORIG;SERVICIOS;ATENCION;WEB;EMAIL;FB;TW;FOTO;BARRIO;COMUNA
-34.583523855074802;-58.393653892246256;2014;1;ESTACION SALUDABLE PLAZA RUBEN DARIO;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;DEL LIBERTADOR AV. & AGOTE, LUIS DR.;AV. DEL LIBERTADOR Y DR. LUIS AGOTE;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.00 A 21.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;RUBEN-DARIO.PNG;RECOLETA;COMUNA 2
-34.638055580352173;-58.40636407237055;2014;2;ESTACION SALUDABLE PARQUE PATRICIOS;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;PATAGONES & MONTEAGUDO;PATAGONES Y MONTEAGUDO;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.30 A 12.30 HS. - 13.30 A 17.30 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;P-PATRICIOS.PNG;PARQUE PATRICIOS;COMUNA 4
-34.606403639007908;-58.438221770739531;2014;3;ESTACION SALUDABLE PARQUE CENTENARIO;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;MACHADO, ANTONIO & MARECHAL, LEOPOLDO;ANTONIO MACHADO Y LEOPOLDO MARECHAL;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.00 A 12.00 HS. - 15.00 A 19.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.30 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;CENTENARIO.PNG;CABALLITO;COMUNA 6
-34.634688999109848;-58.440570693887381;2014;4;ESTACION SALUDABLE PARQUE CHACABUCO;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;ASAMBLEA AV. & MITRE, EMILIO;EMILIO MITRE Y AV. ASAMBLEA;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.30 A 12.30 HS. - 14.00 A 18.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;CHACABUCO.PNG;PARQUE CHACABUCO;COMUNA 7
-34.664972151266191;-58.466641656597972;2014;5;ESTACION SALUDABLE PARQUE INDOAMERICANO;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;ESCALADA AV. & CASTANIARES AV.;AV. CASTANIARES Y AV. ESCALADA;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), CASILLEROS Y CAMBIADORES;JUE. 8.00 A 12.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;INDO.PNG;VILLA SOLDATI;COMUNA 8
-34.687992904344696;-58.475369319975798;2014;6;ESTACION SALUDABLE PLAZA SUDAMERICANA;ESTACION SALUDABLE;MOVIL;CARPA;PIEDRA BUENA AV. & FERNANDEZ DE LA CRUZ, F., GRAL. AV.;AV. PIEDRABUENA Y AV. FERNANDEZ DE LA CRUZ;PESO, GLUCEMIA, PRESION ARTERIAL Y CONSEJERIA EN ALIMENTACION;LUN., MAR., MIE. Y VIE. 8.30 A 16.30 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;SUDAMERICA.PNG;VILLA RIACHUELO;COMUNA 8
-34.645633498118883;-58.475728400243106;2014;7;ESTACION SALUDABLE PARQUE AVELLANEDA;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;LACARRA AV. & BILBAO, FRANCISCO AV.;AV. LACARRA Y AV. BILBAO;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.00 A 12.00 HS. - 13.00 A 17.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;AVELLANEDA.PNG;PARQUE AVELLANEDA;COMUNA 9
-34.550876206824327;-58.479518636547731;2014;8;ESTACION SALUDABLE PARQUE SAAVEDRA;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;GARCIA DEL RIO & MELIAN AV.;AV. GARCIA DEL RIO Y AV. MELIAN;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.00 A 12.00 HS. - 15.00 A 19.00 HS. / SAB., DOM. Y FERIADOS 8.30 A 19.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;SAAVEDRA.PNG;SAAVEDRA;COMUNA 12
-34.571517320166613;-58.412936200320772;2014;9;ESTACION SALUDABLE ROSEDAL;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;SARMIENTO AV. & IRAOLA AV.;IRAOLA Y AV. SARMIENTO;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.00 A 12.00 HS. - 15.00 A 19.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;ROSEDAL.PNG;PALERMO;COMUNA 14
-34.555358272162991;-58.435259910420974;2014;10;ESTACION SALUDABLE LAGO DE PALERMO;ESTACION SALUDABLE;FIJA;ESTRUCTURA GRANDE;TORNQUIST, ERNESTO AV. & BELLO, ANDRES;ANDRES BELLO CASI ESQUINA TORNQUIST;PESO, GLUCEMIA, PRESION ARTERIAL, CONSEJERIA EN ALIMENTACION, ACTIVIDAD FISICA, ACTIVIDADES PARA NINIOS (JUEGOTECAS), ACTIVIDADES PARA ADULTOS MAYORES, CASILLEROS Y CAMBIADORES;LUN. A VIE. 8.00 A 12.00 HS. - 14.00 A 18.00 HS. / SAB., DOM. Y FERIADOS 9.00 A 18.00 HS.;WWW.BUENOSAIRES.GOB.AR/DESARROLLOSALUDABLE;DESARROLLOSALUDABLE@BUENOSAIRES.GOB.AR;WWW.FACEBOOK.COM/BASALUDABLE;WWW.TWITTER.COM/BASALUDABLE;GOLF.PNG;PALERMO;COMUNA 14
