X;Y;ID;OBJETO;CALLE;ALTURA;DIREC_NORM;DIREC_ARCG;TELEFONO;OBS_TELEFONO;BARRIO;COMUNA
-58.4487034118841;-34.5816268390841;49;FARMACIA;AV ALVAREZ THOMAS;302;ALVAREZ THOMAS AV. 302;302 ALVAREZ THOMAS AV.;4553-2124;;CHACARITA;15
-58.4589657615226;-34.5785529885103;115;FARMACIA;ALVAREZ THOMAS;1238;ALVAREZ THOMAS AV. 1238;1238 ALVAREZ THOMAS AV.;4554-0134;;CHACARITA;15
-58.4469789804384;-34.59200946854;171;FARMACIA;AV CORRIENTES;6151;CORRIENTES AV. 6151;6151 CORRIENTES AV.;4854-6014;;CHACARITA;15
-58.4547941191833;-34.5794452987762;334;FARMACIA;AV ALVAREZ THOMAS;900;ALVAREZ THOMAS AV. 900;900 ALVAREZ THOMAS AV.;4551-2290;;CHACARITA;15
-58.4548710083212;-34.5862109446879;721;FARMACIA;AV FEDERICO LACROZE;4125;LACROZE, FEDERICO AV. 4125;4125 LACROZE, FEDERICO AV.;4553-8400;;CHACARITA;15
-58.4534085818758;-34.5847005644895;760;FARMACIA;AV FEDERICO LACROZE;3938;LACROZE, FEDERICO AV. 3938;3938 LACROZE, FEDERICO AV.;4553-1934;;CHACARITA;15
-58.4530597338971;-34.5834119104573;1001;FARMACIA;AV FEDERICO LACROZE;3801;LACROZE, FEDERICO AV. 3801;3801 LACROZE, FEDERICO AV.;;;CHACARITA;15
-58.4482704616498;-34.5816985780007;1025;FARMACIA;AV ALVAREZ THOMAS;284;ALVAREZ THOMAS AV. 284;284 ALVAREZ THOMAS AV.;;;CHACARITA;15
-58.4471877939086;-34.5827582351691;1101;FARMACIA;SANTOS DUMONT;3448;DUMONT, SANTOS 3448;3448 DUMONT, SANTOS;4555-0082;;CHACARITA;15
-58.4552818727515;-34.5866663569398;1126;FARMACIA;AV FEDERICO LACROZE;4181;LACROZE, FEDERICO AV. 4181;4181 LACROZE, FEDERICO AV.;4554-5600;;CHACARITA;15
-58.4471310708323;-34.5918685238001;1218;FARMACIA;AV CORRIENTES;6169;CORRIENTES AV. 6169;6169 CORRIENTES AV.;4514-9271;;CHACARITA;15
-58.4544195666636;-34.5870523669182;1236;FARMACIA;AV CORRIENTES;6847;CORRIENTES AV. 6847;6847 CORRIENTES AV.;4554-0153;;CHACARITA;15
-58.4534419265837;-34.5840051001501;1337;FARMACIA;AV FEDERICO LACROZE;3883;LACROZE, FEDERICO AV. 3883;3883 LACROZE, FEDERICO AV.;4552-5221;;CHACARITA;15
-58.4467275966215;-34.5903511840161;1376;FARMACIA;AV DORREGO;940;DORREGO AV. 940;940 DORREGO AV.;;;CHACARITA;15
-58.4597051166608;-34.6024926250675;169;FARMACIA;ESPINOSA;2005;ESPINOSA 2005;2005 ESPINOSA;4584-8226;;PATERNAL;15
-58.4667085598048;-34.599714042609;279;FARMACIA;TRELLES;2502;TRELLES, MANUEL R. AV. 2502;2502 TRELLES, MANUEL R. AV.;4581-0384;;PATERNAL;15
-58.4589471909313;-34.6041817505499;330;FARMACIA;AV SAN MARTIN;2211;SAN MARTIN AV. 2211;2211 SAN MARTIN AV.;4581-0308;;PATERNAL;15
