WKT;ID_DATA;ID_AREA;OBJETO;NOMBRE;ETAPA;AÑO;CALLE_A;ALTURA_DES;ALTURA_HAS;DIRECCIONN;CALLE;ALTURA;GEOCODIFIC;BARRIO;COMUNA;CODIGO_POS;CODIGO_P_1
MULTILINESTRING ((-58.410346415786 -34.6104395696118,-58.4102338655586 -34.611568646863,-58.4100709731449 -34.6126929836133,-58.4098725278977 -34.6139949869847,-58.4096803244927 -34.615250371083,-58.4094551651105 -34.6166133496894));1;3;SENDERO SEGURO;BALVANERA;V;2009;GRAL. URQUIZA;1;300;URQUIZA, GRAL. 1;URQUIZA, GRAL.;1;POINT(104852.867679 102077.164424);BALVANERA;COMUNA 3;1215;C1215ADA
MULTILINESTRING ((-58.450767442942 -34.5886907209532,-58.4505260484868 -34.5879360892692,-58.4502126511772 -34.5869536235493,-58.4498821535884 -34.5859171387924,-58.4495536216204 -34.5848876252926,-58.4492162465246 -34.5838298691648,-58.4488741139486 -34.5827575333182));2;5;SENDERO SEGURO;CHACARITA;V;2009;AV. JORGE NEWBERY;3500;4000;NEWBERY, JORGE AV. 3500;NEWBERY, JORGE AV.;3500;POINT(101333.190646 105167.75882);CHACARITA;COMUNA 15;1427;C1427EGN
MULTILINESTRING ((-58.5238258626245 -34.6380311945163,-58.523929777403 -34.6370562099501));3;5;SENDERO SEGURO;LINIERS NORTE;V;2009;GALLARDO;100;200;GALLARDO, ANGEL AV. 100;GALLARDO, ANGEL AV.;100;POINT(102712.246848 102920.128584);CABALLITO;COMUNA 6;1405;C1405DJN
MULTILINESTRING ((-58.4488741139486 -34.5827575333182,-58.4498103146017 -34.5824078326367,-58.4507054629109 -34.5820735438975,-58.4517121548291 -34.5817032712634));4;6;SENDERO SEGURO;CHACARITA;V;2009;AV. CORDOBA;6300;6500;CORDOBA AV. 6300;CORDOBA AV.;6300;POINT(101341.210532 105139.423522);CHACARITA;COMUNA 15;1427;C1427BZP
MULTILINESTRING ((-58.4517121548291 -34.5817032712634,-58.4522112679712 -34.5824740084416,-58.4527682650348 -34.5833341114226,-58.4534314565327 -34.5843581710032,-58.4539715388945 -34.5851922049828,-58.4551181708949 -34.5869817040592,-58.4552186398493 -34.5872234095515,-58.4551759339148 -34.5873625743061));5;7;SENDERO SEGURO;CHACARITA;V;2009;AV. FEDERICO LACROZE;3600;4000;LACROZE, FEDERICO AV. 3600;LACROZE, FEDERICO AV.;3600;POINT(101076.042239 105281.389342);CHACARITA;COMUNA 15;1427;C1427EDN
MULTILINESTRING ((-58.3858297630612 -34.6223913045888,-58.3858064823325 -34.6235856680215,-58.3857997168824 -34.6239327468603));6;8;SENDERO SEGURO;CONSTITUCION I;V;2009;SAN JOSE;1200;1300;SAN JOSE 1200;SAN JOSE;1200;POINT(107108.038249 100770.853345);CONSTITUCION;COMUNA 1;1076;C1076AAX
MULTILINESTRING ((-58.3858297630612 -34.6223913045888,-58.3871795473438 -34.6224675728198,-58.3886597615404 -34.6225626424374,-58.3898883825629 -34.6226370067258,-58.3914884614186 -34.6227338353543));7;9;SENDERO SEGURO;CONSTITUCION I;V;2009;AV. SAN JUAN;1400;1700;SAN JUAN AV. 1400;SAN JUAN AV.;1400;POINT(107115.769121 100752.142234);CONSTITUCION;COMUNA 1;1148;C1148AAO
MULTILINESTRING ((-58.3914884614186 -34.6227338353543,-58.3914573717322 -34.6234255310576,-58.3914313327705 -34.6239884928374,-58.3913289767765 -34.625228616046));8;10;SENDERO SEGURO;CONSTITUCION I;V;2009;AV. ENTRE RIOS;1200;1300;ENTRE RIOS AV. 1200;ENTRE RIOS AV.;1200;POINT(106594.218834 100733.61732);CONSTITUCION;COMUNA 1;1080;C1080ABS
MULTILINESTRING ((-58.3913289767765 -34.625228616046,-58.3896529264239 -34.6250664212295,-58.3883890184899 -34.6249392450686,-58.3871870145495 -34.6248513912582));9;11;SENDERO SEGURO;CONSTITUCION I;V;2009;CONSTITUCION;1500;1700;CONSTITUCION 1500;CONSTITUCION;1500;POINT(106994.935582 100484.730406);CONSTITUCION;COMUNA 1;1151;C1151AAJ
MULTILINESTRING ((-58.3871870145495 -34.6248513912582,-58.3871789862534 -34.6240272737382,-58.387177874757 -34.6237503707199,-58.3871762755647 -34.6233519673075,-58.3871795473438 -34.6224675728198));10;12;SENDERO SEGURO;CONSTITUCION I;V;2009;PRES. LUIS SAENZ PEÑA;1200;1300;SAENZ PEÑA, LUIS, PRES. 1200;SAENZ PEÑA, LUIS, PRES.;1200;POINT(106984.413774 100762.526446);CONSTITUCION;COMUNA 1;1110;C1110AAX
MULTILINESTRING ((-58.3814423485273 -34.6197554122723,-58.3829769235567 -34.6197651574948));11;14;SENDERO SEGURO;CONSTITUCION II;V;2009;CARLOS CALVO;1100;NA;CALVO, CARLOS 1100;CALVO, CARLOS;1100;POINT(107516.925815 101048.29868);CONSTITUCION;COMUNA 1;1102;C1102AAV
MULTILINESTRING ((-58.3829769235567 -34.6197651574948,-58.3829689250665 -34.6210025895203,-58.3829610929787 -34.6222438947752,-58.3829507194254 -34.6239152127844));12;15;SENDERO SEGURO;CONSTITUCION II;V;2009;SALTA;1000;1200;SALTA 1000;SALTA;1000;POINT(107370.229024 101061.949943);CONSTITUCION;COMUNA 1;1074;C1074AAT
MULTILINESTRING ((-58.3829689250665 -34.6210025895203,-58.3843469943152 -34.6210500333395));13;16;SENDERO SEGURO;CONSTITUCION II;V;2009;HUMBERTO PRIMO;1200;NA;HUMBERTO PRIMO 1200;HUMBERTO PRIMO;1200;POINT(107379.657593 100910.443617);CONSTITUCION;COMUNA 1;1103;C1103ACX
MULTILINESTRING ((-58.5247616947386 -34.6323438746386,-58.5245465711062 -34.6330456970496,-58.5242315966157 -34.6344538600104));14;17;SENDERO SEGURO;LINIERS NORTE;V;2009;GALLARDO;300;500;GALLARDO 300;GALLARDO;300;POINT(94426.2107816 99242.797282);LINIERS;COMUNA 9;1408;C1408BSD
MULTILINESTRING ((-58.5228734244657 -34.6359476141484,-58.5227641630307 -34.6369716446086,-58.5226519367499 -34.6380235644716,-58.5225634911897 -34.6388528596771));15;19;SENDERO SEGURO;LINIERS NORTE;V;2009;BARRAGAN;1;400;BARRAGAN 1;BARRAGAN;1;POINT(94570.706206 98946.1122095);LINIERS;COMUNA 9;1408;C1408BVA
MULTILINESTRING ((-58.5101170449086 -34.621124715095,-58.5090238459497 -34.6219674882968,-58.5080569095863 -34.6227102716872));16;20;SENDERO SEGURO;MONTE CASTRO;V;2009;CERVANTES;1800;1900;CERVANTES 1800;CERVANTES;1800;POINT(95900.3877173 100716.769872);MONTE CASTRO;COMUNA 10;1407;C1407BHF
MULTILINESTRING ((-58.5090238459497 -34.6219674882968,-58.5083774482689 -34.6213992616341,-58.5077560830469 -34.6207901757536,-58.5068992441391 -34.6203450750801,-58.505968292457 -34.6198614629165,-58.5035275631945 -34.6185934886746,-58.5024287157579 -34.6180216482086));17;21;SENDERO SEGURO;MONTE CASTRO;V;2009;AV. ALVAREZ JONTE;4500;5000;ALVAREZ JONTE AV. 4500;ALVAREZ JONTE AV.;4500;POINT(96422.6145852 101249.021522);MONTE CASTRO;COMUNA 10;1407;C1407GOY
MULTILINESTRING ((-58.5088320107089 -34.6199918584567,-58.5083009917091 -34.6203898184826,-58.5077560830469 -34.6207901757536,-58.5076124395533 -34.6209223459994,-58.5068398237199 -34.6215074370684));18;22;SENDERO SEGURO;MONTE CASTRO;V;2009;BERMUDEZ;1800;1900;BERMUDEZ 1800;BERMUDEZ;1800;POINT(96018.9678583 100844.273123);MONTE CASTRO;COMUNA 10;1407;C1407BEF
MULTILINESTRING ((-58.5068398237199 -34.6215074370684,-58.5061746996418 -34.6211580666294,-58.505787171882 -34.6209613458395,-58.505512201654 -34.6208100690607));19;23;SENDERO SEGURO;MONTE CASTRO;V;2009;ALCARAZ;4900;NA;ALCARAZ 4900;ALCARAZ;4900;POINT(96139.7686514 100940.202996);MONTE CASTRO;COMUNA 10;1407;C1407GIP
MULTILINESTRING ((-58.505512201654 -34.6208100690607,-58.5058806430224 -34.619981248305,-58.5059687514843 -34.619862128413,-58.5064492471449 -34.6194364491797,-58.5069159976229 -34.6189635178278));20;24;SENDERO SEGURO;MONTE CASTRO;V;2009;ALLENDE;2100;2250;ALLENDE 2100;ALLENDE;2100;POINT(96128.6987462 100926.685943);MONTE CASTRO;COMUNA 10;1407;C1407CQD
